kind,variant,min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise_recomputed,purity_excl_noise,algo,best_k_from_step2,silhouette_recomputed,purity_overall,eps
augmented,optimized,15.0,,,4.0,0.2337962962962963,0.1570768541060434,0.4052114803625378,dbscan,,,,5.655716402109595
augmented,raw,15.0,,,4.0,0.2337962962962963,0.16166646617130556,0.4059667673716012,dbscan,,,,6.540529586713379
no_augmentation,optimized,5.0,,,4.0,0.140625,0.21378467333954385,0.4262626262626263,dbscan,,,,6.9178948232929445
no_augmentation,raw,5.0,,,4.0,0.017361111111111112,0.17546165419645599,0.2968197879858657,dbscan,,,,10.000702523494663
augmented,optimized,,,,,,,,kmeans,4.0,0.15830188899500933,0.4626736111111111,
augmented,raw,,,,,,,,kmeans,5.0,0.14597766888081493,0.5483217592592593,
no_augmentation,optimized,,,,,,,,kmeans,4.0,0.21479750368782138,0.6180555555555556,
no_augmentation,raw,,,,,,,,kmeans,4.0,0.19383090712682602,0.6180555555555556,
augmented,optimized,5.0,0.03,0.03,2.0,0.8842592592592593,0.47037500269976706,0.4125,optics,,,,
augmented,raw,5.0,0.03,0.03,2.0,0.9247685185185185,0.4869122992248144,1.0,optics,,,,
no_augmentation,optimized,20.0,0.05,0.03,4.0,0.7569444444444444,0.5577678075632383,0.9928571428571429,optics,,,,
no_augmentation,raw,15.0,0.08,0.03,4.0,0.8142361111111112,0.4297589615021636,1.0,optics,,,,
