k,inertia,silhouette,variant
2,44269.3769941776,0.17368691499816608,raw
3,39478.6493272081,0.15709417676098367,raw
4,35114.893115604806,0.19383090712682602,raw
5,33021.81108526017,0.1875802772720364,raw
6,31297.218396427023,0.17237495416509352,raw
7,30066.741373967103,0.18022806690609752,raw
8,29514.276844226137,0.1536860844455359,raw
9,29424.322866303548,0.12317198132886438,raw
2,37763.430366821165,0.1746840894561531,optimized
3,33405.3893750863,0.20626185798579122,optimized
4,30440.899072422944,0.2147975036878214,optimized
5,29718.992829850118,0.1712122548872096,optimized
6,27123.297584404834,0.16856056042926246,optimized
7,26310.567125412723,0.15726313935602299,optimized
8,24306.625248621793,0.17003916851940135,optimized
9,23271.966663115847,0.18440653945929253,optimized
