min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise
5,0.03,0.03,2,0.9247685185185185,0.4869122992248144,1.0
5,0.03,0.05,1,0.0,,0.25
5,0.03,0.08,1,0.0,,0.25
5,0.05,0.03,1,0.0,,0.25
5,0.05,0.05,1,0.0,,0.25
5,0.05,0.08,1,0.0,,0.25
5,0.08,0.03,1,0.0,,0.25
5,0.08,0.05,1,0.0,,0.25
5,0.08,0.08,1,0.0,,0.25
5,0.1,0.03,1,0.0,,0.25
5,0.1,0.05,1,0.0,,0.25
5,0.1,0.08,1,0.0,,0.25
10,0.03,0.05,1,0.0,,0.25
10,0.03,0.08,1,0.0,,0.25
10,0.05,0.05,1,0.0,,0.25
10,0.05,0.08,1,0.0,,0.25
10,0.08,0.03,1,0.0,,0.25
10,0.08,0.05,1,0.0,,0.25
10,0.08,0.08,1,0.0,,0.25
10,0.1,0.03,1,0.0,,0.25
10,0.1,0.05,1,0.0,,0.25
10,0.1,0.08,1,0.0,,0.25
15,0.03,0.05,1,0.0,,0.25
15,0.03,0.08,1,0.0,,0.25
15,0.05,0.03,1,0.0,,0.25
15,0.05,0.05,1,0.0,,0.25
15,0.05,0.08,1,0.0,,0.25
15,0.08,0.03,1,0.0,,0.25
15,0.08,0.05,1,0.0,,0.25
15,0.08,0.08,1,0.0,,0.25
15,0.1,0.03,1,0.0,,0.25
15,0.1,0.05,1,0.0,,0.25
15,0.1,0.08,1,0.0,,0.25
20,0.03,0.03,1,0.0,,0.25
20,0.03,0.05,1,0.0,,0.25
20,0.03,0.08,1,0.0,,0.25
20,0.05,0.03,1,0.0,,0.25
20,0.05,0.05,1,0.0,,0.25
20,0.05,0.08,1,0.0,,0.25
20,0.08,0.03,1,0.0,,0.25
20,0.08,0.05,1,0.0,,0.25
20,0.08,0.08,1,0.0,,0.25
20,0.1,0.03,1,0.0,,0.25
20,0.1,0.05,1,0.0,,0.25
20,0.1,0.08,1,0.0,,0.25
10,0.03,0.03,1,0.9684606481481481,,1.0
10,0.05,0.03,1,0.9684606481481481,,1.0
15,0.03,0.03,1,0.9690393518518519,,1.0
