min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise
10,0.1,0.05,2,0.8940972222222222,0.44442778457458554,1.0
10,0.1,0.03,3,0.8611111111111112,0.43746456122319516,1.0
15,0.08,0.03,4,0.8142361111111112,0.4297589615021636,1.0
15,0.1,0.03,2,0.9166666666666666,0.42494415577675265,1.0
15,0.08,0.05,3,0.8472222222222222,0.4215478329054422,1.0
5,0.1,0.03,4,0.8177083333333334,0.42038585912154347,1.0
20,0.05,0.05,4,0.7482638888888888,0.41947066699317564,1.0
20,0.03,0.05,4,0.7465277777777778,0.4168201400396257,0.9931506849315068
15,0.03,0.05,5,0.6892361111111112,0.41328627492448844,1.0
15,0.05,0.05,5,0.6892361111111112,0.41328627492448844,1.0
10,0.08,0.03,4,0.7951388888888888,0.40736121891678095,1.0
5,0.05,0.05,5,0.71875,0.40537613162882685,1.0
5,0.1,0.05,3,0.8315972222222222,0.40217502608130545,1.0
20,0.05,0.03,5,0.71875,0.3990729410689762,1.0
15,0.05,0.03,7,0.6180555555555556,0.39668738990357333,1.0
10,0.08,0.05,3,0.828125,0.39606811707359835,1.0
20,0.03,0.03,5,0.7100694444444444,0.39491680741097623,0.9940119760479041
5,0.03,0.03,9,0.6215277777777778,0.394853896914015,1.0
5,0.08,0.05,4,0.7934027777777778,0.39332902424120103,1.0
5,0.03,0.05,6,0.640625,0.39222124055034685,1.0
5,0.05,0.03,8,0.6458333333333334,0.3866984408337615,1.0
5,0.08,0.03,6,0.734375,0.38190219641479856,1.0
10,0.05,0.05,6,0.6163194444444444,0.3772170309240817,1.0
15,0.03,0.03,9,0.5381944444444444,0.37429446408458283,1.0
10,0.05,0.03,8,0.5416666666666666,0.3694798771635937,1.0
10,0.03,0.05,6,0.6024305555555556,0.36673148445557624,1.0
10,0.03,0.03,9,0.4930555555555556,0.3532930120365937,1.0
5,0.05,0.08,1,0.0,,0.25
5,0.08,0.08,1,0.0,,0.25
5,0.1,0.08,1,0.0,,0.25
10,0.08,0.08,1,0.0,,0.25
10,0.1,0.08,1,0.0,,0.25
15,0.03,0.08,1,0.0,,0.25
15,0.05,0.08,1,0.0,,0.25
15,0.08,0.08,1,0.0,,0.25
15,0.1,0.08,1,0.0,,0.25
20,0.03,0.08,1,0.0,,0.25
20,0.05,0.08,1,0.0,,0.25
20,0.08,0.08,1,0.0,,0.25
20,0.1,0.03,1,0.0,,0.25
20,0.1,0.05,1,0.0,,0.25
20,0.1,0.08,1,0.0,,0.25
10,0.03,0.08,1,0.9045138888888888,,1.0
5,0.03,0.08,1,0.9079861111111112,,1.0
10,0.05,0.08,1,0.9184027777777778,,1.0
20,0.08,0.03,1,0.9444444444444444,,1.0
20,0.08,0.05,1,0.9444444444444444,,1.0
15,0.1,0.05,1,0.9496527777777778,,1.0
